wbrs_description,score,threat_mnemonic,threat_description
Response IP,-9.6,mals,Malware Sites
Suspicious host,-9.6,mali,Malicious Sites
Response,-9.5,mals,Malware Sites
Known Phishing host,-9.5,phsh,Phishing
CryptoLocker DGA,-9.5,dga,Domain Generated Algorithm
Kyle and Stan Malvertising Network,-9.5,dga,Domain Generated Algorithm
Talos Internal Malicious Feed-Domain/URL,-9.5,mals,Malware Sites
Talos Internal Malicious Feed-IP,-9.5,mals,Malware Sites
Talos Research Malicious Feed-Domain/URL,-9.5,NULL,NULL
Talos Research Malicious Feed-IP,-9.5,NULL,NULL
Active attacking hosts,-9.5,mals,Malware Sites
Hosts that run Open Web Proxies,-9.5,hprx,Open HTTP Proxy
Open Mail Relay,-9.5,mrly,Open Mail Relay
Tor Exit Node,-9.5,tor,TOR exit Nodes
Heavy-weight manual blacklist,-9.5,mals,Malware Sites
Zeus DGA,-9.5,dga,Domain Generated Algorithm
ExploitKit Domains,-9.5,expl,Exploits
DGA Domains,-9.5,dga,Domain Generated Algorithm
Botnet Command and Control servers,-9.4,bots,Botnets
Hosts that are part of a botnet,-9.4,bots,Botnets
Malware and Exploit hosts,-9.4,mals,Malware Sites
Manual CIDR BL,-8,mals,Malware Sites
Spamhaus DROP,-7.2,mals,Malware Sites
Malicious AV verdicts from CWS telemetry,-7,mals,Malware Sites
Spamhaus Drop IPv6,-7,spam,Spam
Spam URI Realtime Block List AB,-6.8,spam,Spam
Mute Phish,-6.8,phsh,Phishing
Spam URI Realtime Block List OB,-6.8,spam,Spam
Spam URI Realtime Block List PH,-6.6,spam,Spam
ExploitKit IPs,-6.5,expl,Exploits
VIRBL,-6.5,NULL,NULL
Spam URI Realtime Block List JP,-6.5,spam,Spam
CBL,-6.4,bots,Botnets
WBNP Patterns Malware 1,-6.4,mals,Malware Sites
MalwareURL.com URLs,-6.3,mals,Malware Sites
Sunbelt Cool Web search,-6.3,spy,Spyware and Adware
Umbrella IntelDB phishing,-6.3,phsh,Phishing
Umbrella IntelDB malware,-6.3,NULL,NULL
Umbrella IntelDB botnet,-6.3,NULL,NULL
Phishtank,-6.3,phsh,Phishing
MalwareDomains.com blacklist,-6.2,mals,Malware Sites
Cyveillance Anti-Phishing,-6.2,phsh,Phishing
MalwareURL.com URLs,-6.2,mals,Malware Sites
MalwareURL.com URLs,-6.2,mals,Malware Sites
MalwareURL.com URLs,-6.2,mals,Malware Sites
Netcraft Feed,-6.2,phsh,Phishing
Sunbelt threat,-6.2,mals,Malware Sites
APWG High confidence,-6.2,phsh,Phishing
Bing DriveBy,-6.1,mals,Malware Sites
Bing Forefront,-6.1,mals,Malware Sites
Bing HoneySnAx,-6.1,mals,Malware Sites
Malware Code,-6.1,mals,Malware Sites
Malwaredomainlist.com blacklist,-6.1,mals,Malware Sites
Malwaredomainlist.com blacklist low weight.,-6.1,mals,Malware Sites
Alexa top one million urls identified as malicious by OpenDNS,-6,mals,Malware Sites
Malicious OpenDNS verdicts from CWS telemetry,-6,NULL,NULL
